iter	Passed	Remaining
277	6370	16545
278	6392	16519
279	6413	16490
280	6434	16463
281	6453	16431
282	6474	16403
283	6493	16372
284	6514	16343
285	6534	16313
286	6557	16291
287	6576	16258
288	6597	16231
289	6618	16205
290	6639	16177
291	6658	16145
292	6681	16122
293	6702	16096
294	6722	16065
295	6742	16036
296	6763	16008
297	6784	15981
298	6803	15951
299	6825	15925
300	6844	15894
301	6864	15865
302	6884	15835
303	6906	15811
304	6928	15788
305	6951	15765
306	6972	15739
307	6995	15718
308	7017	15692
309	7041	15673
310	7064	15651
311	7086	15627
312	7109	15605
313	7130	15579
314	7154	15558
315	7178	15538
316	7200	15513
317	7220	15486
318	7243	15463
319	7265	15439
320	7287	15414
321	7313	15398
322	7334	15373
323	7358	15352
324	7382	15333
325	7405	15310
326	7429	15289
327	7451	15266
328	7475	15247
329	7498	15223
330	7521	15201
331	7543	15178
332	7564	15152
333	7586	15127
334	7608	15102
335	7631	15081
336	7652	15055
337	7675	15033
338	7698	15011
339	7721	14987
340	7752	14982
341	7776	14962
342	7798	14936
343	7822	14916
344	7843	14891
345	7867	14870
346	7887	14843
347	7909	14818
348	7929	14790
349	7951	14766
350	7970	14738
351	7991	14712
352	8012	14685
353	8034	14662
354	8055	14636
355	8078	14613
356	8101	14591
357	8122	14566
358	8143	14540
359	8164	14514
360	8184	14487
361	8205	14460
362	8226	14435
363	8250	14415
364	8278	14402
365	8311	14396
366	8333	14373
367	8359	14355
368	8382	14334
369	8406	14314
370	8428	14290
371	8449	14263
372	8469	14236
373	8490	14211
374	8511	14185
375	8530	14157
376	8552	14133
377	8577	14114
378	8598	14089
379	8627	14075
380	8654	14061
381	8682	14046
382	8711	14034
383	8739	14019
384	8767	14004
385	8795	13990
386	8826	13981
387	8851	13961
388	8876	13941
389	8900	13920
390	8922	13897
391	8943	13871
392	8964	13845
393	8987	13822
394	9005	13793
395	9028	13770
396	9048	13744
397	9074	13726
398	9099	13705
399	9124	13686
400	9151	13669
401	9177	13652
402	9202	13632
403	9227	13612
404	9252	13593
405	9274	13569
406	9299	13548
407	9327	13533
408	9358	13522
409	9383	13503
410	9409	13484
411	9436	13467
412	9465	13453
413	9491	13435
414	9515	13414
415	9541	13395
416	9562	13368
417	9583	13344
418	9603	13316
419	9622	13287
420	9640	13258
421	9660	13231
422	9678	13202
423	9698	13175
424	9717	13147
425	9737	13119
426	9756	13092
427	9776	13065
428	9794	13036
429	9816	13013
430	9835	12984
431	9855	12958
432	9874	12930
433	9893	12903
434	9912	12875
435	9930	12846
436	9950	12819
437	9970	12793
438	9989	12765
439	10008	12738
440	10029	12712
441	10049	12686
442	10072	12665
443	10096	12643
444	10123	12626
445	10146	12603
446	10173	12585
447	10196	12562
448	10223	12545
449	10246	12522
450	10270	12502
451	10293	12479
452	10316	12456
453	10336	12431
454	10356	12404
455	10375	12377
456	10392	12348
457	10412	12321
458	10429	12293
459	10448	12265
460	10466	12237
461	10485	12210
462	10504	12183
463	10523	12156
464	10540	12127
465	10559	12099
466	10578	12073
467	10596	12045
468	10614	12018
469	10634	11992
470	10652	11964
471	10672	11938
472	10692	11913
473	10717	11893
474	10738	11869
475	10768	11853
476	10790	11831
477	10816	11812
478	10838	11789
479	10861	11766
480	10883	11743
481	10905	11719
482	10929	11698
483	10955	11679
484	10974	11652
485	10992	11625
486	11010	11598
487	11034	11577
488	11053	11550
489	11074	11526
490	11099	11506
491	11119	11481
492	11139	11455
493	11162	11433
494	11184	11410
495	11203	11384
496	11224	11360
497	11246	11336
498	11268	11313
499	11290	11290
500	11315	11270
501	11338	11248
502	11367	11232
503	11391	11210
504	11416	11189
505	11442	11171
506	11469	11152
507	11491	11129
508	11513	11106
509	11534	11082
510	11557	11059
511	11580	11038
512	11603	11015
513	11627	10993
514	11646	10967
515	11664	10941
516	11683	10915
517	11702	10888
518	11720	10862
519	11737	10834
520	11756	10808
521	11774	10781
522	11793	10756
523	11812	10730
524	11831	10704
525	11849	10678
526	11867	10651
527	11886	10626
528	11906	10601
529	11924	10574
530	11942	10547
531	11960	10521
532	11979	10496
533	11999	10471
534	12018	10445
535	12036	10419
536	12054	10393
537	12073	10367
538	12091	10342
539	12110	10316
540	12128	10290
541	12146	10264
542	12164	10237
543	12183	10212
544	12200	10186
545	12219	10160
546	12237	10134
547	12255	10108
548	12273	10082
549	12291	10056
550	12309	10030
551	12327	10005
552	12346	9979
553	12364	9954
554	12382	9928
555	12402	9903
556	12420	9878
557	12438	9852
558	12456	9826
559	12477	9803
560	12497	9779
561	12518	9756
562	12539	9732
563	12560	9709
564	12581	9686
565	12600	9661
566	12620	9637
567	12641	9614
568	12661	9590
569	12682	9567
570	12703	9544
571	12723	9520
572	12744	9497
573	12765	9474
574	12785	9450
575	12808	9428
576	12828	9404
577	12848	9380
578	12868	9356
579	12887	9332
580	12905	9307
581	12923	9282
582	12942	9257
583	12960	9232
584	12979	9207
585	12997	9182
586	13015	9157
587	13034	9133
588	13052	9108
589	13071	9083
590	13089	9058
591	13113	9037
592	13131	9012
593	13149	8987
594	13167	8962
595	13185	8937
596	13202	8912
597	13222	8888
598	13241	8864
599	13259	8839
600	13278	8815
601	13298	8792
602	13317	8768
603	13337	8744
604	13357	8721
605	13377	8697
606	13398	8674
607	13417	8651
608	13437	8627
609	13457	8603
610	13476	8580
611	13496	8556
612	13516	8533
613	13535	8509
614	13555	8485
615	13575	8462
616	13594	8438
617	13614	8415
618	13633	8391
619	13653	8368
620	13674	8345
621	13695	8322
622	13713	8298
623	13732	8275
624	13752	8251
625	13771	8227
626	13790	8204
627	13810	8180
628	13830	8157
629	13849	8134
630	13869	8110
631	13889	8087
632	13909	8064
633	13929	8041
634	13948	8017
635	13967	7994
636	13988	7971
637	14008	7948
638	14028	7925
639	14048	7902
640	14067	7878
641	14088	7856
642	14107	7832
643	14128	7810
644	14147	7786
645	14168	7764
646	14188	7741
647	14207	7717
648	14227	7694
649	14247	7671
650	14266	7648
651	14285	7624
652	14304	7601
653	14324	7578
654	14344	7555
655	14363	7532
656	14382	7508
657	14402	7486
658	14421	7462
659	14440	7439
660	14459	7415
661	14479	7392
662	14501	7370
663	14521	7348
664	14540	7324
665	14559	7301
666	14581	7279
667	14601	7256
668	14621	7234
669	14641	7211
670	14660	7188
671	14680	7165
672	14700	7142
673	14719	7119
674	14739	7096
675	14758	7073
676	14777	7050
677	14797	7027
678	14817	7004
679	14837	6982
680	14857	6959
681	14876	6936
682	14895	6913
683	14914	6890
684	14933	6867
685	14953	6844
686	14973	6821
687	14992	6799
688	15012	6776
689	15031	6753
690	15051	6730
691	15070	6707
692	15090	6685
693	15109	6662
694	15129	6639
695	15149	6616
696	15169	6594
697	15191	6572
698	15213	6551
699	15235	6529
700	15255	6506
701	15274	6484
702	15293	6461
703	15313	6438
704	15333	6415
705	15352	6393
706	15371	6370
707	15390	6347
708	15409	6324
709	15430	6302
710	15452	6281
711	15471	6257
712	15491	6235
713	15510	6213
714	15533	6191
715	15557	6170
716	15583	6150
717	15605	6129
718	15624	6106
719	15644	6084
720	15663	6061
721	15683	6038
722	15702	6016
723	15721	5993
724	15741	5970
725	15761	5948
726	15780	5925
727	15800	5903
728	15818	5880
729	15838	5857
730	15857	5835
731	15877	5813
732	15896	5790
733	15916	5768
734	15936	5745
735	15956	5723
736	15975	5700
737	15995	5678
738	16015	5656
739	16034	5633
740	16054	5611
741	16073	5588
742	16093	5566
743	16112	5543
744	16130	5521
745	16149	5498
746	16169	5476
747	16189	5454
748	16210	5432
749	16228	5409
750	16248	5387
751	16268	5365
752	16286	5342
753	16306	5320
754	16326	5298
755	16346	5275
756	16365	5253
757	16385	5231
758	16405	5209
759	16424	5186
760	16444	5164
761	16463	5142
762	16484	5120
763	16503	5098
764	16522	5075
765	16542	5053
766	16561	5031
767	16580	5008
768	16600	4986
769	16620	4964
770	16639	4942
771	16659	4920
772	16678	4897
773	16697	4875
774	16718	4853
775	16742	4832
776	16772	4813
777	16800	4793
778	16828	4774
779	16857	4754
780	16885	4734
781	16914	4715
782	16945	4696
783	16975	4676
784	17005	4657
785	17030	4636
786	17058	4616
787	17079	4595
788	17100	4573
789	17120	4551
790	17139	4528
791	17160	4506
792	17181	4484
793	17203	4463
794	17224	4441
795	17244	4419
796	17262	4396
797	17281	4374
798	17300	4352
799	17319	4329
800	17339	4307
801	17357	4285
802	17376	4262
803	17394	4240
804	17413	4218
805	17431	4195
806	17450	4173
807	17469	4151
808	17487	4128
809	17505	4106
810	17524	4084
811	17542	4061
812	17560	4039
813	17579	4016
814	17598	3994
815	17616	3972
816	17634	3949
817	17652	3927
818	17670	3905
819	17689	3883
820	17708	3860
821	17726	3838
822	17745	3816
823	17766	3794
824	17785	3772
825	17808	3751
826	17839	3731
827	17867	3711
828	17891	3690
829	17918	3670
830	17939	3648
831	17965	3627
832	17993	3607
833	18019	3586
834	18043	3565
835	18068	3544
836	18087	3522
837	18107	3500
838	18126	3478
839	18146	3456
840	18165	3434
841	18184	3412
842	18202	3390
843	18221	3367
844	18240	3345
845	18261	3324
846	18279	3302
847	18297	3279
848	18316	3257
849	18335	3235
850	18353	3213
851	18371	3191
852	18390	3169
853	18413	3147
854	18433	3126
855	18452	3104
856	18473	3082
857	18495	3060
858	18515	3039
859	18534	3017
860	18555	2995
861	18574	2973
862	18594	2951
863	18616	2930
864	18636	2908
865	18656	2886
866	18676	2864
867	18697	2843
868	18726	2822
869	18749	2801
870	18776	2780
871	18800	2759
872	18826	2738
873	18850	2717
874	18876	2696
875	18902	2675
876	18928	2654
877	18951	2633
878	18974	2611
879	18993	2590
880	19012	2568
881	19032	2546
882	19053	2524
883	19072	2502
884	19090	2480
885	19109	2458
886	19128	2436
887	19146	2414
888	19166	2393
889	19186	2371
890	19207	2349
891	19227	2327
892	19249	2306
893	19269	2284
894	19288	2262
895	19307	2241
896	19325	2219
897	19344	2197
898	19363	2175
899	19381	2153
900	19399	2131
901	19417	2109
902	19436	2087
903	19454	2065
904	19473	2044
905	19492	2022
906	19510	2000
907	19534	1979
908	19563	1958
909	19581	1936
910	19600	1914
911	19619	1893
912	19638	1871
913	19657	1849
914	19675	1827
915	19694	1806
916	19714	1784
917	19732	1762
918	19752	1740
919	19770	1719
920	19788	1697
921	19806	1675
922	19824	1653
923	19843	1632
924	19862	1610
925	19879	1588
926	19897	1566
927	19915	1545
928	19935	1523
929	19957	1502
930	19979	1480
931	20007	1459
932	20033	1438
933	20056	1417
934	20080	1395
935	20106	1374
936	20130	1353
937	20159	1332
938	20186	1311
939	20209	1289
940	20234	1268
941	20257	1247
942	20276	1225
943	20296	1204
944	20314	1182
945	20336	1160
946	20354	1139
947	20373	1117
948	20392	1095
949	20411	1074
950	20431	1052
951	20449	1031
952	20468	1009
953	20487	987
954	20506	966
955	20525	944
956	20544	923
957	20561	901
958	20581	879
959	20602	858
960	20622	836
961	20643	815
962	20664	793
963	20684	772
964	20704	750
965	20724	729
966	20744	707
967	20765	686
968	20785	664
969	20805	643
970	20826	621
971	20845	600
972	20864	578
973	20882	557
974	20900	535
975	20918	514
976	20938	492
977	20956	471
978	20976	449
979	20994	428
980	21012	406
981	21031	385
982	21049	364
983	21067	342
984	21084	321
985	21103	299
986	21122	278
987	21140	256
988	21159	235
989	21177	213
990	21196	192
991	21215	171
992	21235	149
993	21259	128
994	21285	106
995	21309	85
996	21334	64
997	21359	42
998	21386	21
999	21409	0
