iter	Logloss
0	0.5563172226
1	0.4471247338
2	0.3957003553
3	0.3514681193
4	0.3248465872
5	0.3085305287
6	0.29794656
7	0.2910601963
8	0.2861056411
9	0.2825253011
10	0.2801138128
11	0.2778948314
12	0.2762257198
13	0.2751434527
14	0.2740824782
15	0.2731738302
16	0.2723172171
17	0.2715676865
18	0.2709882445
19	0.2705592165
20	0.2702105978
21	0.2697416673
22	0.2694765841
23	0.269182346
24	0.2689290487
25	0.2686347057
26	0.2682795716
27	0.2680321638
28	0.2678616865
29	0.2677464452
30	0.2676739185
31	0.2675054476
32	0.2674246538
33	0.2671948996
34	0.2671088752
35	0.2670302117
36	0.2669191364
37	0.2668171889
38	0.2666956821
39	0.2666331086
40	0.2665665934
41	0.2664675001
42	0.2663805477
43	0.2663031948
44	0.2662118343
45	0.2661535285
46	0.2661039775
47	0.2659716428
48	0.2658926724
49	0.265841376
50	0.2658014417
51	0.2657621617
52	0.2656811775
53	0.2656110697
54	0.2655655966
55	0.2655212189
56	0.2654437615
57	0.2653803692
58	0.2653190715
59	0.2652747396
60	0.2652272168
61	0.2651562816
62	0.265113118
63	0.2650839896
64	0.2650531114
65	0.2650086893
66	0.2649694029
67	0.2649442609
68	0.2648839919
69	0.2648481751
70	0.2648187557
71	0.2647812444
72	0.2647412937
73	0.2646947432
74	0.2646486823
75	0.2646064107
76	0.2645724426
77	0.2645311798
78	0.2644908849
79	0.2644457183
80	0.2644046124
81	0.2643978351
82	0.2643703854
83	0.2643361521
84	0.2642704648
85	0.2642349934
86	0.2642076749
87	0.264175026
88	0.2641406716
89	0.264109213
90	0.264076059
91	0.2640350367
92	0.2639914155
93	0.2639572865
94	0.2639340434
95	0.2638979351
96	0.2638742963
97	0.2638540004
98	0.2638343868
99	0.263809822
100	0.2637770007
101	0.2637516579
102	0.2637088061
103	0.2636888059
104	0.263660895
105	0.2636228589
106	0.2635965788
107	0.2635701364
108	0.2635336966
109	0.263511765
110	0.2634715917
111	0.2634472285
112	0.2634214226
113	0.2634060186
114	0.2633691597
115	0.2633023375
116	0.2632811447
117	0.2632606694
118	0.2632413183
119	0.2632049936
120	0.2631734136
121	0.263141643
122	0.2631040749
123	0.2630729388
124	0.2630502998
125	0.2630181026
126	0.2629807646
127	0.262952761
128	0.2629166584
129	0.2628924418
130	0.2628648744
131	0.2628365081
132	0.2628063067
133	0.2627707655
134	0.2627386211
135	0.2627188947
136	0.2626897841
137	0.2626654023
138	0.2626388639
139	0.2625916719
140	0.2625517569
141	0.2625250463
142	0.262489354
143	0.2624679757
144	0.2624363114
145	0.2624026811
146	0.2623734047
147	0.2623488946
148	0.262322569
149	0.2622950625
150	0.2622736033
151	0.2622461388
152	0.2622239947
153	0.2621879188
154	0.2621507257
155	0.2621226591
156	0.2620915866
157	0.2620723176
158	0.2620416348
159	0.2620098732
160	0.2619773959
161	0.2619563263
162	0.261921825
163	0.2618939418
164	0.2618655912
165	0.261822516
166	0.261790396
167	0.261772426
168	0.2617497396
169	0.2617288829
170	0.261692084
171	0.2616591906
172	0.2616370222
173	0.2616121842
174	0.2615853049
175	0.2615494089
176	0.2615238067
177	0.2614903846
178	0.2614617283
179	0.2614371138
180	0.2613995962
181	0.2613671319
182	0.261342702
183	0.2613160122
184	0.2612946413
185	0.2612505032
186	0.2612239155
187	0.261196015
188	0.2611679974
189	0.261131459
190	0.26111259
191	0.2610845287
192	0.2610615438
193	0.2610372141
194	0.2610183394
195	0.2609988108
196	0.2609741243
197	0.2609412593
198	0.2609103729
199	0.2608923873
200	0.2608684522
201	0.2608413469
202	0.2608129516
203	0.2607853124
204	0.2607571211
205	0.2607385628
206	0.2607185678
207	0.2607021488
208	0.260683268
209	0.2606490191
210	0.2606208136
211	0.2605990802
212	0.2605780315
213	0.2605585449
214	0.2605277401
215	0.2605036109
216	0.2604809183
217	0.2604484669
218	0.26041942
219	0.2603858736
220	0.2603609358
221	0.2603407517
222	0.2603161535
223	0.2602987052
224	0.2602750909
225	0.2602544467
226	0.2602320744
227	0.2602053724
228	0.2601852502
229	0.2601619903
230	0.2601397806
231	0.2601236081
232	0.2601063852
233	0.2600846889
234	0.2600637217
235	0.2600542597
236	0.2600332447
237	0.2600081979
238	0.2599918083
239	0.2599631717
240	0.2599352183
241	0.2599134022
242	0.259892367
243	0.2598662777
244	0.259833098
245	0.2598128302
246	0.2597744753
247	0.2597484077
248	0.2597235544
249	0.2597078428
250	0.2596865575
251	0.2596730971
252	0.2596498803
253	0.2596287983
254	0.2596018609
255	0.2595781428
256	0.2595537137
257	0.259528809
258	0.259506237
259	0.2594787642
260	0.2594580821
261	0.259445523
262	0.2594141506
263	0.2593882623
264	0.259358966
265	0.2593460616
266	0.2593262155
267	0.2593101311
268	0.2592832686
269	0.2592688927
270	0.2592425115
271	0.2592218612
272	0.2592002878
273	0.2591656285
274	0.2591370787
275	0.2591055168
276	0.2590736002
277	0.2590534461
278	0.2590247894
279	0.2589987634
280	0.2589692892
281	0.2589494252
282	0.2589285031
283	0.2589048001
284	0.2588846569
285	0.2588646601
286	0.258837919
287	0.2588193359
288	0.258799553
289	0.2587704078
290	0.258734446
291	0.2587073318
292	0.2586808672
293	0.2586484061
294	0.2586263843
295	0.2586084759
296	0.2585912362
297	0.2585721341
298	0.2585414432
299	0.2585241814
300	0.2584925561
301	0.2584634594
302	0.2584493123
303	0.2584258595
304	0.2583984432
305	0.2583679027
306	0.2583465779
307	0.2583412928
308	0.25831572
309	0.2582952061
310	0.2582675644
311	0.2582417032
312	0.2582193326
313	0.2582022967
314	0.2581836514
315	0.2581697296
316	0.2581497089
317	0.2581315278
318	0.2581202035
319	0.258105808
320	0.2580834431
321	0.258052763
322	0.2580297123
323	0.2580065641
324	0.2579727429
325	0.257948003
326	0.2579160398
327	0.2578929657
328	0.2578766009
329	0.2578606305
330	0.2578351354
331	0.2578239179
332	0.2578006912
333	0.2577834829
334	0.2577593002
335	0.257736397
336	0.2577136648
337	0.2576962032
338	0.2576779796
339	0.257651785
340	0.257626482
341	0.2576084598
342	0.2575946792
343	0.2575758819
344	0.2575572342
345	0.2575333895
346	0.2575180091
347	0.2574941538
348	0.2574716468
349	0.2574459282
350	0.2574296217
351	0.2574145547
352	0.2573960647
353	0.257377649
354	0.2573514068
355	0.2573371163
356	0.257312282
357	0.2572907762
358	0.2572684266
359	0.2572421446
360	0.2572256782
361	0.2571990735
362	0.257174896
363	0.257147957
364	0.2571336464
365	0.2571025386
366	0.257085537
367	0.2570719192
368	0.2570541159
369	0.257034022
370	0.2570239996
371	0.2570002959
372	0.2569817232
373	0.2569615474
374	0.2569402454
375	0.2569167896
376	0.2568954891
377	0.256872596
378	0.2568500325
379	0.2568286919
380	0.2568120402
381	0.25679385
382	0.2567762154
383	0.256752148
384	0.2567309417
385	0.2567169484
386	0.2566848344
387	0.2566684043
388	0.256657622
389	0.2566403468
390	0.256623733
391	0.2566008176
392	0.2565826558
393	0.2565632453
394	0.2565401388
395	0.2565211647
396	0.256499501
397	0.2564804878
398	0.256455773
399	0.2564427236
400	0.2564099133
401	0.2563847265
402	0.2563629566
403	0.25633224
404	0.2563135153
405	0.2562976436
406	0.2562895445
407	0.2562807073
408	0.2562679173
409	0.2562509358
410	0.2562304359
411	0.2562103382
412	0.2561817626
413	0.2561586798
414	0.2561399036
415	0.2561170268
416	0.2560953106
417	0.2560758582
418	0.2560595075
419	0.2560345037
420	0.2560160145
421	0.2559983925
422	0.2559816981
423	0.255961654
424	0.2559427456
425	0.2559232345
426	0.2558998603
427	0.255880113
428	0.2558560053
429	0.2558309299
430	0.2558089018
431	0.2557884091
432	0.2557616334
433	0.2557430317
434	0.2557247587
435	0.255710824
436	0.2556875217
437	0.2556716355
438	0.2556525605
439	0.2556351989
440	0.2556145656
441	0.2555975965
442	0.2555816376
443	0.2555604993
444	0.2555473625
445	0.2555249141
446	0.2555040826
447	0.2554793167
448	0.2554563964
449	0.2554377136
450	0.2554168769
451	0.2553974993
452	0.2553787628
453	0.2553577874
454	0.255339029
455	0.2553172624
456	0.2552972967
457	0.2552769923
458	0.2552597827
459	0.2552415782
460	0.2552179837
461	0.2551944206
462	0.255174615
463	0.2551501814
464	0.2551388249
465	0.2551178719
466	0.2550952675
467	0.2550779623
468	0.2550582796
469	0.2550274044
470	0.255013267
471	0.2549963551
472	0.2549816156
473	0.2549516309
474	0.2549321425
475	0.2549179291
476	0.2549002061
477	0.2548834683
478	0.2548640318
479	0.2548480332
480	0.2548240738
481	0.2547969967
482	0.2547736884
483	0.2547561462
484	0.2547388299
485	0.2547247688
486	0.2547108057
487	0.2546854115
488	0.2546641422
489	0.2546445923
490	0.2546117498
491	0.2545924643
492	0.2545787162
493	0.2545614159
494	0.2545474207
495	0.2545251083
496	0.2544992201
497	0.2544802274
498	0.2544619144
499	0.2544412291
500	0.2544208197
501	0.2544023198
502	0.2543810659
503	0.2543580189
504	0.2543342717
505	0.2543127414
506	0.2542937721
507	0.2542688701
508	0.2542603416
509	0.254245579
510	0.2542277574
511	0.2542065157
512	0.2541915172
513	0.2541676035
514	0.2541475637
515	0.2541323319
516	0.2541067959
517	0.2540821207
518	0.2540539067
519	0.2540425936
520	0.2540250824
521	0.254003142
522	0.2539840121
523	0.2539623582
524	0.2539471228
525	0.253931083
526	0.2539161639
527	0.2538904825
528	0.2538682825
529	0.2538546529
530	0.2538417171
531	0.2538257506
532	0.2538002742
533	0.2537839723
534	0.2537690639
535	0.2537534743
536	0.2537261482
537	0.253706766
538	0.2536888775
539	0.2536511991
540	0.2536343966
541	0.2536281561
542	0.2536175587
543	0.2535992138
544	0.2535862611
545	0.2535682317
546	0.2535570232
547	0.2535285883
548	0.2535160673
549	0.2535064682
550	0.2534896323
551	0.2534743913
552	0.2534600608
553	0.2534369151
554	0.2534175529
555	0.2533954737
556	0.2533767874
557	0.2533521575
558	0.2533381665
559	0.2533224312
560	0.2532995318
561	0.2532791653
562	0.2532647919
563	0.2532484703
564	0.2532289874
565	0.2532181821
566	0.2531986114
567	0.2531809485
568	0.2531656401
569	0.2531472046
570	0.2531210067
571	0.2531052098
572	0.2530884481
573	0.2530732813
574	0.253057999
575	0.253032947
576	0.2530155823
577	0.2529966627
578	0.2529796544
579	0.2529608241
580	0.2529451231
581	0.2529253996
582	0.2529105189
583	0.2528841834
584	0.2528576217
585	0.2528361439
586	0.252816413
587	0.2527987454
588	0.252788147
589	0.2527649655
590	0.2527390558
591	0.2527237099
592	0.2527080613
593	0.2526943731
594	0.2526838826
595	0.2526750365
596	0.2526682864
597	0.2526449796
598	0.2526245582
599	0.2526021012
600	0.2525947165
601	0.252580524
602	0.2525574371
603	0.2525404722
604	0.2525122043
605	0.2524925629
606	0.2524765456
607	0.2524537244
608	0.2524363698
609	0.252417357
610	0.2524037129
611	0.2523843264
612	0.2523575965
613	0.2523440608
614	0.2523309103
615	0.2523116137
616	0.2522902072
617	0.2522746724
618	0.2522584522
619	0.2522393151
620	0.2522159017
621	0.2521981383
622	0.2521909427
623	0.2521751838
624	0.2521580711
625	0.2521454598
626	0.252137794
627	0.2521182866
628	0.2521035838
629	0.2520915603
630	0.2520763873
631	0.252056081
632	0.2520400091
633	0.2520239479
634	0.2520130838
635	0.2519988947
636	0.2519717641
637	0.2519601001
638	0.2519428023
639	0.2519268975
640	0.2519091654
641	0.2518892567
642	0.2518690471
643	0.2518519264
644	0.2518353527
645	0.2518168241
646	0.2517864696
647	0.2517684731
648	0.2517562545
649	0.2517324128
650	0.2517103743
651	0.2516973082
652	0.251669226
653	0.2516484997
654	0.2516301151
655	0.2516153557
656	0.2515992284
657	0.2515846729
658	0.2515662844
659	0.2515497462
660	0.2515281876
661	0.251514886
662	0.2514903957
663	0.2514695211
664	0.2514543199
665	0.2514388973
666	0.2514131374
667	0.251388447
668	0.2513691658
669	0.2513484859
670	0.251340296
671	0.2513195302
672	0.251302009
673	0.2512802196
674	0.2512610071
675	0.2512369342
676	0.2512252572
677	0.2512048227
678	0.251186157
679	0.2511662525
680	0.2511531206
681	0.251140755
682	0.2511162317
683	0.2511013768
684	0.2510919398
685	0.2510770984
686	0.2510630228
687	0.2510368657
688	0.2510220098
689	0.2510067758
690	0.2509835567
691	0.2509755992
692	0.2509595578
693	0.25094598
694	0.2509240215
695	0.2508959188
696	0.2508824596
697	0.2508670642
698	0.2508496909
699	0.2508352673
700	0.2508184642
701	0.2508050258
702	0.2507924268
703	0.2507806856
704	0.2507560006
705	0.2507427915
706	0.2507341049
707	0.2507227087
708	0.2507073612
709	0.2506890431
710	0.2506726739
711	0.2506671027
712	0.2506504142
713	0.2506316021
714	0.2506165555
715	0.2506037408
716	0.2505825488
717	0.2505691754
718	0.2505465871
719	0.2505226039
720	0.2505147383
721	0.2504962064
722	0.2504805788
723	0.2504698963
724	0.2504600978
725	0.2504437658
726	0.2504224308
727	0.2504056832
728	0.2503980434
729	0.2503744603
730	0.2503617135
731	0.250350042
732	0.2503336778
733	0.2503103974
734	0.2502891484
735	0.2502700505
736	0.2502473674
737	0.2502233133
738	0.2502100908
739	0.2501924595
740	0.250175291
741	0.2501577951
742	0.2501410719
743	0.250113938
744	0.250104411
745	0.2500891812
746	0.2500690353
747	0.2500497321
748	0.2500276033
749	0.2500178043
750	0.2500007864
751	0.2499793662
752	0.2499693383
753	0.2499561447
754	0.2499394286
755	0.2499185422
756	0.2499095926
757	0.2498828087
758	0.2498621426
759	0.2498481572
760	0.2498342005
761	0.2498262716
762	0.2498051242
763	0.2497911246
764	0.2497807058
765	0.2497587374
766	0.2497448342
767	0.2497296493
768	0.2497164905
769	0.2496951882
770	0.2496809448
771	0.2496595478
772	0.2496433492
773	0.2496291442
774	0.2496118512
775	0.2495945211
776	0.2495648611
777	0.2495485362
778	0.2495296464
779	0.2495145231
780	0.2494995336
781	0.2494852386
782	0.249469306
783	0.2494446917
784	0.2494226629
785	0.2494113267
786	0.249394306
787	0.249372362
788	0.2493463813
789	0.2493291782
790	0.2493074756
791	0.2492882838
792	0.2492632599
793	0.2492479321
794	0.2492260937
795	0.2492032418
796	0.2491937179
797	0.2491762452
798	0.2491568298
799	0.249142099
800	0.2491205952
801	0.2491044853
802	0.2490886176
803	0.2490700708
804	0.2490548815
805	0.249041767
806	0.2490226547
807	0.249008356
808	0.248993871
809	0.2489795181
810	0.2489655464
811	0.2489561558
812	0.2489326401
813	0.2489096579
814	0.2488885298
815	0.248870801
816	0.2488567817
817	0.2488396725
818	0.2488246451
819	0.2488078001
820	0.2487917514
821	0.2487729557
822	0.2487495423
823	0.2487286321
824	0.248717005
825	0.2486966321
826	0.2486750766
827	0.2486587247
828	0.2486437639
829	0.2486319169
830	0.248616221
831	0.2486096213
832	0.2485945845
833	0.2485775323
834	0.2485614249
835	0.2485363102
836	0.2485196679
837	0.248503641
838	0.2484796552
839	0.2484665386
840	0.2484518068
841	0.248434421
842	0.2484192893
843	0.2484055177
844	0.24838396
845	0.2483712451
846	0.2483490317
847	0.2483333625
848	0.2483173615
849	0.2483000989
850	0.2482842813
851	0.2482640838
852	0.2482536592
853	0.2482351358
854	0.2482168772
855	0.2481991286
856	0.2481766626
857	0.2481590225
858	0.2481379347
859	0.248121316
860	0.2481142315
861	0.2481053221
862	0.2480906126
863	0.2480692221
864	0.2480495449
865	0.2480289362
866	0.2480161153
867	0.2479994578
868	0.2479844687
869	0.2479663009
870	0.247956649
871	0.2479356411
872	0.2479214674
873	0.2479098382
874	0.2478969277
875	0.2478826998
876	0.2478647639
877	0.2478544076
878	0.2478351709
879	0.2478153882
880	0.2478028878
881	0.2477911506
882	0.2477662985
883	0.247749344
884	0.2477366434
885	0.2477147498
886	0.2476990346
887	0.2476857063
888	0.2476619423
889	0.2476511352
890	0.247638188
891	0.2476240034
892	0.247606307
893	0.2475888238
894	0.2475610524
895	0.2475438715
896	0.2475289455
897	0.2475171955
898	0.2475035551
899	0.2474754624
900	0.2474651508
901	0.2474502079
902	0.2474351246
903	0.2474201806
904	0.2474049835
905	0.2473878844
906	0.247368043
907	0.247352211
908	0.2473361032
909	0.2473135448
910	0.2472977412
911	0.2472807486
912	0.2472627688
913	0.2472478231
914	0.2472271009
915	0.2472119636
916	0.2471966016
917	0.247183543
918	0.2471626804
919	0.2471483071
920	0.2471339336
921	0.2471205359
922	0.2471047742
923	0.2470865498
924	0.2470729634
925	0.2470609391
926	0.2470446075
927	0.2470303379
928	0.2470100812
929	0.2469915308
930	0.2469695971
931	0.2469486632
932	0.2469325775
933	0.2469129581
934	0.2468973676
935	0.2468863924
936	0.2468714265
937	0.2468483901
938	0.2468266887
939	0.2468117349
940	0.2467909238
941	0.2467772951
942	0.2467654598
943	0.2467478189
944	0.2467313396
945	0.2467074393
946	0.2466961596
947	0.2466807139
948	0.2466596068
949	0.2466473617
950	0.2466328504
951	0.2466062322
952	0.246598178
953	0.2465775188
954	0.2465582404
955	0.2465411069
956	0.2465227051
957	0.2465128527
958	0.2464920246
959	0.2464713321
960	0.2464508234
961	0.2464424077
962	0.246429746
963	0.2464143811
964	0.2464016459
965	0.2463889074
966	0.2463708597
967	0.2463458733
968	0.2463334914
969	0.2463198834
970	0.246296758
971	0.2462846955
972	0.2462649847
973	0.2462429022
974	0.2462340641
975	0.2462212909
976	0.2461935122
977	0.2461729711
978	0.246152747
979	0.2461425414
980	0.2461248448
981	0.2461098908
982	0.2460932388
983	0.2460842079
984	0.2460793858
985	0.2460523496
986	0.2460361624
987	0.2460204632
988	0.2460040035
989	0.2459898721
990	0.2459683429
991	0.2459527444
992	0.2459442585
993	0.2459210199
994	0.2459079734
995	0.2458912288
996	0.2458760119
997	0.2458579155
998	0.2458428964
999	0.2458219486
